,Unnamed: 0,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
0,0,2.0,6.0,,42.36413,-71.02991,2.0,1.2,1.0,1.5,29.0,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,0,0,17,26.0,1.0,0.0,4.96,5.0,5.0,4.96,4.85,4.88
1,1,11.0,14.0,,42.32844,-71.09581,2.0,1.0,1.0,1.0,3.0,90,3.0,5.0,1125.0,1125.0,3.0,1125.0,,20,50,80,132.0,10.0,0.0,4.81,4.88,4.95,4.89,4.56,4.76
2,2,11.0,14.0,,42.32802,-71.09387,4.0,1.0,0.0,2.0,3.0,730,3.0,5.0,730.0,730.0,3.0,730.0,,22,52,82,135.0,8.0,0.0,4.81,4.83,4.91,4.95,4.53,4.72
3,3,8.0,32.0,,42.35867,-71.06307,2.0,1.0,1.0,2.0,13.6,365,12.7,13.1,365.0,365.0,14.5,365.0,,0,0,0,29.0,1.0,0.0,4.69,4.69,4.93,4.97,4.97,4.59
4,4,22.0,29.0,,42.35173,-71.08685,3.0,1.0,0.0,1.0,13.6,1125,12.7,13.1,1125.0,1125.0,14.5,1125.0,,29,59,89,9.0,0.0,0.0,4.33,4.44,4.9,4.9,5.0,4.67
5,5,22.0,29.0,,42.35061,-71.08787,2.0,1.0,0.0,1.0,32.0,1125,32.0,32.0,1125.0,1125.0,32.0,1125.0,,0,0,0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,4.8
6,6,22.0,29.0,,42.36377,-71.05206,2.0,1.2,1.3,1.5,32.0,1125,32.0,32.0,1125.0,1125.0,32.0,1125.0,,29,59,89,1.0,1.0,0.0,4.8,5.0,4.9,5.0,5.0,4.0
7,7,39.0,75.0,,42.32212,-71.06096,7.0,1.0,3.0,3.0,30.0,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,6,6,6,52.0,0.0,0.0,4.31,4.5,4.9,4.9,4.24,4.48
8,8,1.0,4.0,,42.37754,-71.06642,2.0,1.0,1.0,1.0,2.0,28,2.0,2.0,28.0,28.0,2.0,28.0,,2,2,2,103.0,2.0,0.0,4.97,4.96,5.0,4.97,4.81,4.94
9,9,1.0,1.0,,42.31347,-71.11082,2.0,1.5,1.0,1.0,29.0,120,21.0,29.0,120.0,120.0,28.7,120.0,,19,49,79,102.0,4.0,1.0,4.98,4.95,4.97,4.94,4.93,4.93
